"Id","Habitatsubtype","Versie","intercepts","zvalues","Criterium","Indicator","Beoordeling","Kwaliteitsniveau","Voorwaarde","Referentiewaarde","Operator","AnalyseVariabele","Eenheid"
97,"1310_zv","Versie 2.0",1.37,9.44804182121104e-03,"Vegetatie","sleutelsoorten","B: 2-4",1,"aantal sleutelsoorten",2,">=","aantal","NA"
98,"1310_zv","Versie 3",1.36,0.02,"Vegetatie","sleutelsoorten",">= 2 hogere planten waaronder Zeevetmuur (Sagina maritima) en/of Sierlijke vetmuur (Sagina nodosa); één hogere plant-sleutelsoort komt ten minste frequent voor",1,"aantal sleutelsoorten",2,">=","aantal","NA"
99,"1310_zv","Versie 3",0.74,0.04,"Vegetatie","sleutelsoorten",">= 2 hogere planten waaronder Zeevetmuur (Sagina maritima) en/of Sierlijke vetmuur (Sagina nodosa); één hogere plant-sleutelsoort komt ten minste frequent voor",1,"aantal sleutelsoorten talrijk",1,">=","aantal","NA"
100,"1330_da","Versie 2.0",0.67,3.60143064661825e-03,"Vegetatie","sleutelsoorten","B: 2 sleutelsoorten van laag schor aanwezig OF > 1 sleutelsoort van hoog schor samen met > 2 sleutelsoorten van de volledige vegetatiegradiënt",1,"aantal sleutelsoorten hoog schor",1,">","aantal","NA"
101,"1330_da","Versie 2.0",0.68,6.61585538204212e-04,"Vegetatie","sleutelsoorten","B: 2 sleutelsoorten van laag schor aanwezig OF > 1 sleutelsoort van hoog schor samen met > 2 sleutelsoorten van de volledige vegetatiegradiënt",1,"aantal sleutelsoorten laag schor",2,">=","aantal","NA"
102,"1330_da","Versie 2.0",0.69,7.07698834514822e-03,"Vegetatie","sleutelsoorten","B: 2 sleutelsoorten van laag schor aanwezig OF > 1 sleutelsoort van hoog schor samen met > 2 sleutelsoorten van de volledige vegetatiegradiënt",1,"aantal sleutelsoorten volledige gradiënt",2,">","aantal","NA"
103,"1330_da","Versie 3",1.38,1.87633339908275e-03,"Vegetatie","sleutelsoorten",">= 5 sleutelsoorten van laag schor aanwezig EN >= 2 sleutelsoorten van hoog schor",1,"aantal sleutelsoorten hoog schor",2,">=","aantal","NA"
104,"1330_da","Versie 3",1.14,0.05,"Vegetatie","sleutelsoorten",">= 5 sleutelsoorten van laag schor aanwezig EN >= 2 sleutelsoorten van hoog schor",1,"aantal sleutelsoorten laag schor",5,">=","aantal","NA"
105,"2130_had","Versie 2.0",0.69,5.13813340767596e-03,"Vegetatie","sleutelsoorten","B: 4-10",1,"aantal sleutelsoorten",4,">=","aantal","NA"
106,"2130_had","Versie 3",0.69,3.50561130983657e-03,"Vegetatie","sleutelsoorten","variant zuur mosduin en pionierduingrasland >= 4 sleutelsoorten ten minste talrijk aanwezig. Variant zuur duingrasland  >= 4 sleutelsoorten ten minste talrijk aanwezig",1,"aantal sleutelsoorten mosduin en pionierduin",4,">=","aantal","NA"
