ID;Criterium;Indicator;Voorwaarde;Waarde;Type;Invoertype;Eenheid
JR0216;Structuur;dwergstruiken;bedekking dwergstruiken;f;Categorie;Tansley IHD;
Ts2036;Structuur;dwergstruiken;bedekking dwergstruiken;cd;Categorie;Tansley IHD;
JR0216;Verstoring;vergrassing;bedekking vergrassing;o;Categorie;Tansley IHD;
Ts2036;Verstoring;vergrassing;bedekking vergrassing;f;Categorie;Tansley IHD;
JR0216;Verstoring;verruiging;bedekking verruiging;35;Percentage;;%
Ts2036;Verstoring;verruiging;bedekking verruiging;0;Percentage;;%
JR0216;Verstoring;vergrassing/verruiging;bedekking vergrassing/verruiging;o;Categorie;Tansley IHD;
Ts2036;Verstoring;vergrassing/verruiging;bedekking vergrassing/verruiging;cd;Categorie;Tansley IHD;
JR0216;Verstoring;verbossing;bedekking verbossing;35;Percentage;;%
Ts2036;Verstoring;verbossing;bedekking verbossing;7,5;Percentage;;%
JR0216;Verstoring;invasieve exoten;bedekking invasieve exoten;0;Percentage;;%
Ts2036;Verstoring;invasieve exoten;bedekking invasieve exoten;0;Percentage;;%
